play_id,game_id,timestamp,player_id,action_type,shot_type,distance_ft,is_made,quarter,time_remaining
P0004,0042500317,2026-06-01T03:43:24Z,PL_1631096,Jump Ball,2PT,0.0,False,1,PT12M00.00S
P0007,0042500317,2026-06-01T03:43:29Z,PL_1641705,Made Shot,2PT,12.0,True,1,PT11M39.00S
P0008,0042500317,2026-06-01T03:43:34Z,PL_1631096,Turnover,2PT,0.0,False,1,PT11M21.00S
P0008,0042500317,2026-06-01T03:43:39Z,PL_1630170,Unknown,2PT,0.0,False,1,PT11M21.00S
P0010,0042500317,2026-06-01T03:43:44Z,PL_1629652,Foul,2PT,0.0,False,1,PT11M17.00S
P0013,0042500317,2026-06-01T03:43:49Z,PL_1630170,Made Shot,2PT,14.0,True,1,PT10M59.00S
P0014,0042500317,2026-06-01T03:43:54Z,PL_1631096,Made Shot,2PT,12.0,True,1,PT10M41.00S
P0016,0042500317,2026-06-01T03:43:59Z,PL_1642264,Made Shot,2PT,1.0,True,1,PT10M33.00S
P0018,0042500317,2026-06-01T03:44:04Z,PL_1628983,Made Shot,2PT,19.0,True,1,PT10M12.00S
P0019,0042500317,2026-06-01T03:44:09Z,PL_1642264,Made Shot,2PT,1.0,True,1,PT09M55.00S
P0021,0042500317,2026-06-01T03:44:14Z,PL_1631096,Missed Shot,2PT,8.0,False,1,PT09M39.00S
P0022,0042500317,2026-06-01T03:44:19Z,PL_1641717,Rebound,2PT,0.0,False,1,PT09M36.00S
P0023,0042500317,2026-06-01T03:44:24Z,PL_1629652,Missed Shot,3PT,25.0,False,1,PT09M30.00S
P0024,0042500317,2026-06-01T03:44:29Z,PL_1610612759,Rebound,2PT,0.0,False,1,PT09M29.00S
P0026,0042500317,2026-06-01T03:44:34Z,PL_1641705,Made Shot,2PT,2.0,True,1,PT09M11.00S
P0028,0042500317,2026-06-01T03:44:39Z,PL_1629652,Missed Shot,3PT,26.0,False,1,PT08M52.00S
P0029,0042500317,2026-06-01T03:44:44Z,PL_1641705,Rebound,2PT,0.0,False,1,PT08M48.00S
P0030,0042500317,2026-06-01T03:44:49Z,PL_1630170,Missed Shot,3PT,0.0,False,1,PT08M42.00S
P0032,0042500317,2026-06-01T03:44:54Z,PL_1628983,Rebound,2PT,0.0,False,1,PT08M38.00S
P0033,0042500317,2026-06-01T03:44:59Z,PL_1628392,Turnover,2PT,0.0,False,1,PT08M26.00S
P0033,0042500317,2026-06-01T03:45:04Z,PL_1641705,Unknown,2PT,0.0,False,1,PT08M26.00S
